Actual Label,Predicted Label,Video Path,Video ID,Sampling Strategy,Video Index,First Correct Frame,Correct
climbing a rope,parkour,kinetics-dataset/val/climbing a rope/0pVGiAU6XEA_000011_000021.mp4,0pVGiAU6XEA,theoretical-best,4774,[],False
swinging legs,swinging legs,kinetics-dataset/val/swinging legs/gY2aoA_4Uz8_000003_000013.mp4,gY2aoA_4Uz8,theoretical-best,3199,[20],True
playing trumpet,playing trumpet,kinetics-dataset/val/playing trumpet/Zg4mhpKVM6Y_000299_000309.mp4,Zg4mhpKVM6Y,theoretical-best,7123,[0],True
jogging,jogging,kinetics-dataset/val/jogging/Ph1TS9_70EQ_000011_000021.mp4,Ph1TS9_70EQ,theoretical-best,4061,[175],True
riding mule,riding mule,kinetics-dataset/val/riding mule/E2_RYbnGF5U_000087_000097.mp4,E2_RYbnGF5U,theoretical-best,5516,[40],True
faceplanting,faceplanting,kinetics-dataset/val/faceplanting/dXhPdo54Eko_000001_000011.mp4,dXhPdo54Eko,theoretical-best,1977,[5],True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/-NoPzfWbcG8_000002_000012.mp4,-NoPzfWbcG8,theoretical-best,4260,[0],True
sign language interpreting,sign language interpreting,kinetics-dataset/val/sign language interpreting/bawXc8t8Zrw_000014_000024.mp4,bawXc8t8Zrw,theoretical-best,4932,[160],True
checking tires,checking tires,kinetics-dataset/val/checking tires/dl54gRr-bmc_000084_000094.mp4,dl54gRr-bmc,theoretical-best,4095,[35],True
peeling apples,peeling apples,kinetics-dataset/val/peeling apples/eVh0SypU4tA_000007_000017.mp4,eVh0SypU4tA,theoretical-best,4009,[5],True
clean and jerk,clean and jerk,kinetics-dataset/val/clean and jerk/aXP9tRhw1GU_000004_000014.mp4,aXP9tRhw1GU,theoretical-best,3780,[80],True
golf driving,golf driving,kinetics-dataset/val/golf driving/NTimjFnosxI_000009_000019.mp4,NTimjFnosxI,theoretical-best,1112,[0],True
somersaulting,dancing ballet,kinetics-dataset/val/somersaulting/TEbZT87pyvc_000004_000014.mp4,TEbZT87pyvc,theoretical-best,3444,[],False
brush painting,riding elephant,kinetics-dataset/val/brush painting/Y5Vsc9okkiE_000576_000586.mp4,Y5Vsc9okkiE,theoretical-best,4434,[],False
climbing a rope,climbing a rope,kinetics-dataset/val/climbing a rope/ceYGsffpCMo_000017_000027.mp4,ceYGsffpCMo,theoretical-best,4791,[0],True
parasailing,parasailing,kinetics-dataset/val/parasailing/48NmtGEAdN0_000056_000066.mp4,48NmtGEAdN0,theoretical-best,3177,[0],True
cartwheeling,cartwheeling,kinetics-dataset/val/cartwheeling/a89S3wQAPgU_000000_000010.mp4,a89S3wQAPgU,theoretical-best,5748,[205],True
playing basketball,playing basketball,kinetics-dataset/val/playing basketball/sEN_lFB9QGk_000009_000019.mp4,sEN_lFB9QGk,theoretical-best,808,[100],True
beatboxing,smoking hookah,kinetics-dataset/val/beatboxing/oxIepnsoNc8_000051_000061.mp4,oxIepnsoNc8,theoretical-best,7143,[],False
eating watermelon,eating watermelon,kinetics-dataset/val/eating watermelon/8HZGTX8Irx0_000211_000221.mp4,8HZGTX8Irx0,theoretical-best,4386,[55],True
headbanging,headbanging,kinetics-dataset/val/headbanging/riKnfJj545o_000035_000045.mp4,riKnfJj545o,theoretical-best,531,[165],True
making a cake,making a cake,kinetics-dataset/val/making a cake/mvu2ZWvneAo_000293_000303.mp4,mvu2ZWvneAo,theoretical-best,2864,[0],True
playing organ,dancing gangnam style,kinetics-dataset/val/playing organ/TN_QcKErOD8_000019_000029.mp4,TN_QcKErOD8,theoretical-best,759,[],False
tap dancing,tap dancing,kinetics-dataset/val/tap dancing/2nw_8_VOVAU_000088_000098.mp4,2nw_8_VOVAU,theoretical-best,1245,[65],True
driving tractor,driving tractor,kinetics-dataset/val/driving tractor/--9s8lCov-I_000002_000012.mp4,--9s8lCov-I,theoretical-best,4982,[60],True
mopping floor,cleaning floor,kinetics-dataset/val/mopping floor/R547-iOgb6g_000029_000039.mp4,R547-iOgb6g,theoretical-best,3973,[],False
chopping wood,chopping wood,kinetics-dataset/val/chopping wood/2kpaZvmqiYA_000005_000015.mp4,2kpaZvmqiYA,theoretical-best,1141,[10],True
bungee jumping,bungee jumping,kinetics-dataset/val/bungee jumping/dAeUFSdYG1I_000010_000020.mp4,dAeUFSdYG1I,theoretical-best,7061,[0],True
skiing slalom,skiing slalom,kinetics-dataset/val/skiing slalom/RvXnfumvBvQ_000412_000422.mp4,RvXnfumvBvQ,theoretical-best,3575,[0],True
snowmobiling,snowmobiling,kinetics-dataset/val/snowmobiling/5bMWEMYp4PA_000071_000081.mp4,5bMWEMYp4PA,theoretical-best,2811,[60],True
dancing gangnam style,dancing gangnam style,kinetics-dataset/val/dancing gangnam style/YaX_o9CV9Z8_000067_000077.mp4,YaX_o9CV9Z8,theoretical-best,2122,[0],True
baby waking up,baby waking up,kinetics-dataset/val/baby waking up/lqDes8cxa1k_000022_000032.mp4,lqDes8cxa1k,theoretical-best,6461,[250],True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/L8xOKTssyF4_000045_000055.mp4,L8xOKTssyF4,theoretical-best,4257,[75],True
cleaning pool,cleaning pool,kinetics-dataset/val/cleaning pool/VD8g_9pocxk_000077_000087.mp4,VD8g_9pocxk,theoretical-best,1258,[5],True
ski jumping,ski jumping,kinetics-dataset/val/ski jumping/h1YBYW1KKj0_000000_000010.mp4,h1YBYW1KKj0,theoretical-best,1944,[25],True
petting animal (not cat),petting animal (not cat),kinetics-dataset/val/petting animal (not cat)/E3hNU_ZRhtA_000010_000020.mp4,E3hNU_ZRhtA,theoretical-best,2646,[125],True
tobogganing,tobogganing,kinetics-dataset/val/tobogganing/Q2-OmWB4YV0_000000_000010.mp4,Q2-OmWB4YV0,theoretical-best,5071,[5],True
waxing legs,waxing legs,kinetics-dataset/val/waxing legs/O4Jg8RCIZsU_000041_000051.mp4,O4Jg8RCIZsU,theoretical-best,6794,[105],True
tying tie,tying tie,kinetics-dataset/val/tying tie/PdsCFMJr8jA_000090_000100.mp4,PdsCFMJr8jA,theoretical-best,204,[130],True
trimming trees,trimming trees,kinetics-dataset/val/trimming trees/-1th54-55Xc_000016_000026.mp4,-1th54-55Xc,theoretical-best,6615,[70],True
abseiling,archery,kinetics-dataset/val/abseiling/BiKRPPjAzvw_000017_000027.mp4,BiKRPPjAzvw,theoretical-best,953,[],False
skiing slalom,skiing slalom,kinetics-dataset/val/skiing slalom/3I0uO2fwVCk_000020_000030.mp4,3I0uO2fwVCk,theoretical-best,3566,[90],True
brushing hair,brushing hair,kinetics-dataset/val/brushing hair/a2WgvBUiNE0_000144_000154.mp4,a2WgvBUiNE0,theoretical-best,6973,[25],True
eating burger,eating burger,kinetics-dataset/val/eating burger/r0PMUHMA4dc_000165_000175.mp4,r0PMUHMA4dc,theoretical-best,7035,[15],True
trapezing,marching,kinetics-dataset/val/trapezing/riZTie4HWmk_000009_000019.mp4,riZTie4HWmk,theoretical-best,2019,[],False
drinking,drinking,kinetics-dataset/val/drinking/r3jUXI1ZrrE_000020_000030.mp4,r3jUXI1ZrrE,theoretical-best,5883,[5],True
javelin throw,javelin throw,kinetics-dataset/val/javelin throw/CBE51_84bwI_000003_000013.mp4,CBE51_84bwI,theoretical-best,2370,[0],True
tasting beer,tasting beer,kinetics-dataset/val/tasting beer/ZQFJQ_LYgE0_000041_000051.mp4,ZQFJQ_LYgE0,theoretical-best,729,[15],True
passing American football (not in game),passing American football (not in game),kinetics-dataset/val/passing American football (not in game)/eA6hnyMAdTo_000043_000053.mp4,eA6hnyMAdTo,theoretical-best,378,[5],True
frying vegetables,frying vegetables,kinetics-dataset/val/frying vegetables/HdjHf9vHMok_000322_000332.mp4,HdjHf9vHMok,theoretical-best,6281,[50],True
building shed,building shed,kinetics-dataset/val/building shed/Ba9jdO3a6lY_000029_000039.mp4,Ba9jdO3a6lY,theoretical-best,865,[20],True
smoking,smoking,kinetics-dataset/val/smoking/Ag9mJ4tEIEE_000273_000283.mp4,Ag9mJ4tEIEE,theoretical-best,6690,[100],True
using computer,using computer,kinetics-dataset/val/using computer/MBuP48atKkk_000111_000121.mp4,MBuP48atKkk,theoretical-best,3910,[0],True
hugging,hugging,kinetics-dataset/val/hugging/j1WEtFFPVBU_000130_000140.mp4,j1WEtFFPVBU,theoretical-best,3282,[50],True
skiing (not slalom or crosscountry),skiing (not slalom or crosscountry),kinetics-dataset/val/skiing (not slalom or crosscountry)/96cq0YhXY3c_000156_000166.mp4,96cq0YhXY3c,theoretical-best,6445,[90],True
making a cake,cooking egg,kinetics-dataset/val/making a cake/RDKqQKURWE0_000001_000011.mp4,RDKqQKURWE0,theoretical-best,2866,[],False
